Country,Country,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20
Плевен,Плевен,0,0,0,2,2,2,2,2,2,3,4,4,4,4,4,4
София ,София ,0,0,0,0,0,2,3,19,27,36,44,54,67,78,88,99
Габрово,Габрово,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
Варна,Варна,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,4
Банско,Банско,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Лом ,Лом,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ловеч,Ловеч,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Перник,Перник,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
Благоевград ,Благоевград ,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
Смолян,Смолян,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
В. Търново,В. Търново,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Бургас,Бургас,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Пловдив,Пловдив,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Добрич,Добрич,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
